symbol
AAPL
MSFT
NVDA
AMZN
META
GOOGL
GOOG
TSLA
AVGO
LLY
V
MA
COST
NFLX
AMD
ADBE
CRM
PEP
TMO
CSCO
INTU
TXN
QCOM
ISRG
BKNG
AMGN
HON
ADP
VRTX
SBUX
ADI
REGN
GILD
PANW
MDLZ
MU
LRCX
KLAC
SNPS
MELI
CDNS
CRWD
ASML
ABNB
MRVL
MAR
ORLY
ADSK
WDAY
FTNT
NXPI
ROP
CHTR
MNST
CPRT
AEP
PAYX
ROST
ODFL
FAST
KDP
EA
VRSK
CTSH
DDOG
BKR
GEHC
EXC
TEAM
CSGP
XEL
IDXX
AZN
CCEP
KHC
MCHP
LULU
TTWO
ZS
ON
DASH
MPWR
DECK
AXON
UBER
ANET
APP
PLTR
SNOW
NET
NOW
DXCM
HUBS
COIN
RBLX
SHOP
SQ
ROKU
ETSY
ZM
