symbol
AAPL
MSFT
NVDA
AMZN
META
GOOGL
GOOG
TSLA
AVGO
LLY
V
MA
COST
NFLX
AMD
ADBE
CRM
PEP
TMO
CSCO
INTU
TXN
QCOM
ISRG
BKNG
AMGN
HON
ADP
VRTX
SBUX
ADI
REGN
GILD
PANW
MDLZ
MU
LRCX
KLAC
SNPS
MELI
CDNS
CRWD
ASML
ABNB
MRVL
MAR
ORLY
ADSK
WDAY
FTNT
A
AAL
ABBV
ABT
ACGL
ACN
ADM
AEE
AEP
AES
AFL
AIG
AIZ
AJG
AKAM
ALB
ALGN
ALL
ALLE
AMAT
AMCR
AME
AMP
AMT
ANET
ANSS
AON
AOS
APA
APD
APH
APTV
ARE
ARM
ATO
AVB
AVY
AWK
AXON
AXP
AZO
BA
BAC
BALL
BAX
BBWI
BBY
BDX
BEN
BG
BIIB
BIO
BK
BKR
BLDR
BLK
BMY
BR
BRO
BSX
BWA
BX
BXP
C
CAG
CAH
CARR
CAT
CB
CBOE
CBRE
CCI
CCL
CDW
CE
CEG
CF
CFG
CHD
CHRW
CHTR
CI
CINF
CL
CLX
CMCSA
CME
CMG
CMI
CMS
CNC
CNP
COF
COO
COP
COR
CPAY
CPB
CPRT
CPT
CRL
CSGP
CSX
CTAS
CTLT
CTRA
CTSH
CTVA
CVS
CVX
CZR
D
DAL
DASH
DAY
DD
DE
DECK
DFS
DG
DGX
DHI
DHR
DIS
DLR
DLTR
DOC
DOV
DOW
DPZ
DRI
DTE
DUK
DVA
DVN
DXCM
EA
EBAY
ECL
ED
EFX
EG
EIX
EL
ELV
EMN
EMR
ENPH
EOG
EPAM
EQIX
EQR
EQT
ERIE
ES
ESS
ETN
ETR
ETSY
EVRG
EW
EXC
EXPD
EXPE
EXR
F
FANG
FAST
FCX
FDS
FDX
FE
FFIV
FI
FICO
FIS
FITB
FMC
FOX
FOXA
FRT
FSLR
FTV
GD
GDDY
GE
GEHC
GEN
GEV
GIS
GL
GLW
GM
GNRC
GPC
GPN
GRMN
GS
GWW
HAL
HAS
HBAN
HCA
HD
HES
HIG
HII
HLT
HOLX
HPE
HPQ
HRL
HSIC
HST
HSY
HUBB
HUM
HWM
IBM
ICE
IDXX
IEX
IFF
ILMN
INCY
INTC
INVH
IP
IPG
IQV
IR
IRM
IT
ITW
IVZ
J
JBHT
JBL
JCI
JKHY
JNJ
JNPR
JPM
K
KDP
KEY
KEYS
KHC
KIM
KKR
KMB
KMI
KMX
KO
KR
KVUE
L
LDOS
LEN
LH
LHX
LIN
LKQ
LMT
LNT
LOW
LULU
LUV
LVS
LW
LYB
LYV
MAA
MAS
MCD
MCHP
MCK
MCO
MDT
MET
MGM
MHK
MKC
MKTX
MLM
MMC
MMM
MNST
MO
MOH
MOS
MPC
MPWR
MRK
MRNA
MRO
MS
MSCI
MSI
MTB
MTCH
MTD
NCLH
NDAQ
NDSN
NEE
NEM
NI
NKE
NOC
NOW
NRG
NSC
NTAP
NTRS
NUE
NVR
NWS
NWSA
NXPI
O
ODFL
OKE
OMC
ON
ORCL
OTIS
OXY
PARA
PAYC
PAYX
PCAR
PCG
PEG
PFE
PFG
PG
PGR
PH
PHM
PKG
PLD
PM
PNC
PNR
PNW
PODD
POOL
PPG
PPL
PRU
PSA
PSX
PTC
PWR
PYPL
QRVO
RCL
REG
RF
RJF
RL
RMD
ROK
ROL
ROP
ROST
RSG
RTX
RVTY
SBAC
SCHW
SHW
SJM
SLB
SMCI
SNA
SO
SOF
SPG
SPGI
SRE
STE
STLD
STT
STX
STZ
SWK
SWKS
SYF
SYK
SYY
T
TAP
TDG
TDY
TECH
TEL
TER
TFC
TFX
TGT
TJX
TMUS
TPR
TRGP
TRMB
TROW
TRV
TSCO
TSN
TT
TTWO
TXT
TYL
UAL
UBER
UDR
UHS
ULTA
UNH
UNP
UPS
URI
USB
VICI
VLO
VLTO
VMC
VRSK
VRSN
VST
VTR
VTRS
VZ
WAB
WAT
WBA
WBD
WDC
WEC
WELL
WFC
WM
WMB
WMT
WRB
WRK
WST
WTW
WY
WYNN
XEL
XOM
XYL
YUM
ZBH
ZBRA
ZTS
