BABA
PDD
JD
BIDU
NTES
TME
FUTU
TCOM
VIPS
BILI
IQ
BZ
YY
DADA
GDS
VNET
GOTU
TAL
EDU
DAO
LI
NIO
XPEV
BYDDY
XIACY
HSAI
ZK
WRD
PONY
JKS
YUMC
BEKE
HWORLD
ZTO
WUXAY
BGNE
ZLAB
AFYA
AMBO
ATAT
