symbol
AAPL
MSFT
NVDA
AMZN
META
GOOGL
GOOG
TSLA
AVGO
LLY
NFLX
AMD
ADBE
CRM
ISRG
CRWD
MELI
ABNB
SNOW
DDOG
PANW
NOW
SHOP
SQ
COIN
RBLX
NET
PLTR
UBER
DASH
ANET
AXON
DECK
HUBS
FTNT
TEAM
WDAY
